,date,time,loc,population,wd
0,20200701,00,11410585,39375.8822,300
1,20200701,01,11410585,38849.5542,301
2,20200701,02,11410585,38406.4802,302
3,20200701,03,11410585,38518.6974,303
4,20200701,04,11410585,38298.7968,304
5,20200701,05,11410585,39411.4239,305
6,20200701,06,11410585,42071.0179,306
7,20200701,07,11410585,47964.6101,307
8,20200701,08,11410585,55858.1741,308
9,20200701,09,11410585,62707.8008,309
10,20200701,10,11410585,66576.2834,310
11,20200701,11,11410585,68292.7872,311
12,20200701,12,11410585,69317.342,312
13,20200701,13,11410585,72769.1398,313
14,20200701,14,11410585,73674.5003,314
15,20200701,15,11410585,73048.7612,315
16,20200701,16,11410585,69084.703,316
17,20200701,17,11410585,64171.8809,317
18,20200701,18,11410585,61762.2032,318
19,20200701,19,11410585,59212.7041,319
20,20200701,20,11410585,55940.3303,320
21,20200701,21,11410585,52252.4219,321
22,20200701,22,11410585,46184.4168,322
23,20200701,23,11410585,40100.1549,323
24,20200702,00,11410585,39469.6668,400
25,20200702,01,11410585,38816.5262,401
26,20200702,02,11410585,38486.6797,402
27,20200702,03,11410585,38244.683,403
28,20200702,04,11410585,38257.5846,404
29,20200702,05,11410585,39511.6907,405
30,20200702,06,11410585,41880.5994,406
31,20200702,07,11410585,47547.3544,407
32,20200702,08,11410585,55080.8661,408
33,20200702,09,11410585,61940.5612,409
34,20200702,10,11410585,65466.8623,410
35,20200702,11,11410585,66663.1798,411
36,20200702,12,11410585,67844.4995,412
37,20200702,13,11410585,71155.7253,413
38,20200702,14,11410585,72645.1022,414
39,20200702,15,11410585,70602.0654,415
40,20200702,16,11410585,67563.4584,416
41,20200702,17,11410585,62453.7504,417
42,20200702,18,11410585,59750.2349,418
43,20200702,19,11410585,57781.8622,419
44,20200702,20,11410585,54741.8255,420
45,20200702,21,11410585,50650.9398,421
46,20200702,22,11410585,45485.2435,422
47,20200702,23,11410585,40392.8237,423
48,20200703,00,11410585,39063.7773,500
49,20200703,01,11410585,38475.5572,501
50,20200703,02,11410585,38148.7159,502
51,20200703,03,11410585,37762.9902,503
52,20200703,04,11410585,37884.6513,504
53,20200703,05,11410585,38814.2311,505
54,20200703,06,11410585,41496.4308,506
55,20200703,07,11410585,47952.3678,507
56,20200703,08,11410585,55663.1289,508
57,20200703,09,11410585,62203.7152,509
58,20200703,10,11410585,65551.5139,510
59,20200703,11,11410585,66498.3127,511
60,20200703,12,11410585,67802.1961,512
61,20200703,13,11410585,70867.3509,513
62,20200703,14,11410585,71103.0022,514
63,20200703,15,11410585,70216.9322,515
64,20200703,16,11410585,67288.15,516
65,20200703,17,11410585,62765.0274,517
66,20200703,18,11410585,61622.0177,518
67,20200703,19,11410585,60456.4411,519
68,20200703,20,11410585,57458.2611,520
69,20200703,21,11410585,53749.3619,521
70,20200703,22,11410585,47820.0693,522
71,20200703,23,11410585,42196.624,523
72,20200704,00,11410585,40742.1163,600
73,20200704,01,11410585,39330.0372,601
74,20200704,02,11410585,38401.849,602
75,20200704,03,11410585,38023.2024,603
76,20200704,04,11410585,37719.7859,604
77,20200704,05,11410585,38263.1736,605
78,20200704,06,11410585,38980.1875,606
79,20200704,07,11410585,40014.8909,607
80,20200704,08,11410585,42889.3708,608
81,20200704,09,11410585,46397.4871,609
82,20200704,10,11410585,48922.7756,610
83,20200704,11,11410585,50495.277,611
84,20200704,12,11410585,53497.8554,612
85,20200704,13,11410585,55821.5361,613
86,20200704,14,11410585,57128.6254,614
87,20200704,15,11410585,57849.4559,615
88,20200704,16,11410585,57819.3209,616
89,20200704,17,11410585,57797.128,617
90,20200704,18,11410585,58274.6144,618
91,20200704,19,11410585,56971.5059,619
92,20200704,20,11410585,53815.0108,620
93,20200704,21,11410585,49976.6232,621
94,20200704,22,11410585,45405.0873,622
95,20200704,23,11410585,39948.023,623
96,20200705,00,11410585,39240.8759,700
97,20200705,01,11410585,38206.6536,701
98,20200705,02,11410585,37533.1241,702
99,20200705,03,11410585,37131.1276,703
100,20200705,04,11410585,36771.1469,704
101,20200705,05,11410585,36979.2173,705
102,20200705,06,11410585,37121.0006,706
103,20200705,07,11410585,37231.1766,707
104,20200705,08,11410585,38333.3916,708
105,20200705,09,11410585,40047.019,709
106,20200705,10,11410585,42979.013,710
107,20200705,11,11410585,45127.3279,711
108,20200705,12,11410585,47458.1841,712
109,20200705,13,11410585,49806.4947,713
110,20200705,14,11410585,51241.7372,714
111,20200705,15,11410585,52575.7546,715
112,20200705,16,11410585,52482.6167,716
113,20200705,17,11410585,52407.4024,717
114,20200705,18,11410585,52474.6554,718
115,20200705,19,11410585,50774.831,719
116,20200705,20,11410585,47807.272,720
117,20200705,21,11410585,44686.3025,721
118,20200705,22,11410585,41365.9735,722
119,20200705,23,11410585,37484.0316,723
120,20200706,00,11410585,37066.0181,100
121,20200706,01,11410585,36701.261,101
122,20200706,02,11410585,36186.5138,102
123,20200706,03,11410585,36005.8276,103
124,20200706,04,11410585,36351.8745,104
125,20200706,05,11410585,37217.7692,105
126,20200706,06,11410585,40084.6268,106
127,20200706,07,11410585,47046.1951,107
128,20200706,08,11410585,54969.5807,108
129,20200706,09,11410585,62773.9072,109
130,20200706,10,11410585,66761.6913,110
131,20200706,11,11410585,68055.8263,111
132,20200706,12,11410585,69834.318,112
133,20200706,13,11410585,72624.6807,113
134,20200706,14,11410585,73922.3581,114
135,20200706,15,11410585,72480.6013,115
136,20200706,16,11410585,68804.987,116
137,20200706,17,11410585,63351.4227,117
138,20200706,18,11410585,60309.1154,118
139,20200706,19,11410585,58009.2548,119
140,20200706,20,11410585,54865.9645,120
141,20200706,21,11410585,50851.4096,121
142,20200706,22,11410585,45285.902,122
143,20200706,23,11410585,39890.5098,123
144,20200707,00,11410585,38731.0441,200
145,20200707,01,11410585,38013.4718,201
146,20200707,02,11410585,37724.5119,202
147,20200707,03,11410585,37631.859,203
148,20200707,04,11410585,37788.3217,204
149,20200707,05,11410585,38958.5103,205
150,20200707,06,11410585,41472.6746,206
151,20200707,07,11410585,48646.509,207
152,20200707,08,11410585,56080.1353,208
153,20200707,09,11410585,63152.4559,209
154,20200707,10,11410585,68291.3283,210
155,20200707,11,11410585,69271.0513,211
156,20200707,12,11410585,70875.0562,212
157,20200707,13,11410585,74292.3201,213
158,20200707,14,11410585,74430.0273,214
159,20200707,15,11410585,72318.4029,215
160,20200707,16,11410585,68732.9204,216
161,20200707,17,11410585,63243.7007,217
162,20200707,18,11410585,60237.5658,218
163,20200707,19,11410585,58099.1386,219
164,20200707,20,11410585,54904.8552,220
165,20200707,21,11410585,50791.5734,221
166,20200707,22,11410585,46491.7865,222
167,20200707,23,11410585,40368.0001,223
168,20200708,00,11410585,38985.2594,300
169,20200708,01,11410585,38370.8727,301
170,20200708,02,11410585,38004.7138,302
171,20200708,03,11410585,37849.5282,303
172,20200708,04,11410585,37925.2277,304
173,20200708,05,11410585,39146.2622,305
174,20200708,06,11410585,41769.315,306
175,20200708,07,11410585,48404.1154,307
176,20200708,08,11410585,56246.5387,308
177,20200708,09,11410585,62917.6682,309
178,20200708,10,11410585,67374.4015,310
179,20200708,11,11410585,68654.7084,311
180,20200708,12,11410585,70220.3217,312
181,20200708,13,11410585,74217.8669,313
182,20200708,14,11410585,74442.5489,314
183,20200708,15,11410585,72666.3342,315
184,20200708,16,11410585,69475.7832,316
185,20200708,17,11410585,64273.4505,317
186,20200708,18,11410585,60857.4445,318
187,20200708,19,11410585,59143.8372,319
188,20200708,20,11410585,55850.3397,320
189,20200708,21,11410585,51961.3992,321
190,20200708,22,11410585,45950.5166,322
191,20200708,23,11410585,39667.289,323
192,20200709,00,11410585,39206.4087,400
193,20200709,01,11410585,38677.1212,401
194,20200709,02,11410585,38216.1039,402
195,20200709,03,11410585,38000.5355,403
196,20200709,04,11410585,38050.79,404
197,20200709,05,11410585,39143.8965,405
198,20200709,06,11410585,42037.672,406
199,20200709,07,11410585,48612.8633,407
200,20200709,08,11410585,56311.9213,408
201,20200709,09,11410585,62842.6182,409
202,20200709,10,11410585,67523.5081,410
203,20200709,11,11410585,69019.6383,411
204,20200709,12,11410585,70288.8858,412
205,20200709,13,11410585,74219.8584,413
206,20200709,14,11410585,75032.0489,414
207,20200709,15,11410585,73290.5874,415
208,20200709,16,11410585,69823.7479,416
209,20200709,17,11410585,64098.9076,417
210,20200709,18,11410585,61216.125,418
211,20200709,19,11410585,58438.2719,419
212,20200709,20,11410585,55431.9371,420
213,20200709,21,11410585,51520.7591,421
214,20200709,22,11410585,46123.5669,422
215,20200709,23,11410585,40299.8899,423
216,20200710,00,11410585,39141.2844,500
217,20200710,01,11410585,38490.7984,501
218,20200710,02,11410585,38032.4012,502
219,20200710,03,11410585,37862.8483,503
220,20200710,04,11410585,37930.0135,504
221,20200710,05,11410585,39057.9232,505
222,20200710,06,11410585,41696.2453,506
223,20200710,07,11410585,48870.1843,507
224,20200710,08,11410585,55904.2702,508
225,20200710,09,11410585,62670.2228,509
226,20200710,10,11410585,66132.3918,510
227,20200710,11,11410585,67708.6973,511
228,20200710,12,11410585,68387.9234,512
229,20200710,13,11410585,70959.3791,513
230,20200710,14,11410585,72277.4895,514
231,20200710,15,11410585,70230.388,515
232,20200710,16,11410585,67546.8183,516
233,20200710,17,11410585,62430.686,517
234,20200710,18,11410585,60839.718,518
235,20200710,19,11410585,59722.7869,519
236,20200710,20,11410585,57337.3638,520
237,20200710,21,11410585,54025.2676,521
238,20200710,22,11410585,48462.4038,522
239,20200710,23,11410585,43104.1227,523
240,20200711,00,11410585,41654.1542,600
241,20200711,01,11410585,40205.5949,601
242,20200711,02,11410585,39367.242,602
243,20200711,03,11410585,38851.3817,603
244,20200711,04,11410585,38498.9875,604
245,20200711,05,11410585,39313.4164,605
246,20200711,06,11410585,39940.2405,606
247,20200711,07,11410585,41027.6491,607
248,20200711,08,11410585,44012.343,608
249,20200711,09,11410585,47329.498,609
250,20200711,10,11410585,50130.4127,610
251,20200711,11,11410585,52052.4501,611
252,20200711,12,11410585,54250.9181,612
253,20200711,13,11410585,55917.42,613
254,20200711,14,11410585,57090.1738,614
255,20200711,15,11410585,58181.095,615
256,20200711,16,11410585,57751.7185,616
257,20200711,17,11410585,57600.3731,617
258,20200711,18,11410585,58440.2554,618
259,20200711,19,11410585,57692.9439,619
260,20200711,20,11410585,55260.6038,620
261,20200711,21,11410585,52272.8241,621
262,20200711,22,11410585,46960.4973,622
263,20200711,23,11410585,40556.707,623
264,20200712,00,11410585,39853.9974,700
265,20200712,01,11410585,38902.7022,701
266,20200712,02,11410585,38055.2498,702
267,20200712,03,11410585,37761.586,703
268,20200712,04,11410585,37418.0164,704
