,poplulation_average
0,33223.067
1,33141.4297
2,32800.04
3,32672.6597
4,32966.0182
5,34310.4257
6,36931.3397
7,43549.1711
8,51494.3703
9,58489.86
10,62930.736
11,64172.2995
12,66035.5453
13,69481.0015
14,71138.664
15,70137.0935
16,65951.3703
17,60131.1075
18,57342.6513
19,53494.6802
20,49868.0663
21,46082.4173
22,41776.2626
23,36639.9512
24,35575.3265
25,35133.6416
26,34999.7429
27,34945.9689
28,35012.9849
29,36311.922
30,39041.0313
31,46049.1242
32,54004.5171
33,61122.1764
34,65427.3904
35,66365.9038
36,68834.293
37,72260.763
38,73711.3316
39,71177.7013
40,67270.499
41,61952.2835
42,58361.0733
43,55814.1113
44,51975.1919
45,48469.2085
46,43409.4015
47,37857.7058
48,36682.1097
49,36317.049
50,36212.0912
51,36185.8513
52,36249.1652
53,37592.0967
54,40026.7407
55,47484.5858
56,55450.3579
57,62740.1505
58,67064.5117
59,68601.3933
60,70222.4011
61,72956.5284
62,74455.8158
63,73497.6953
64,68507.1059
65,63741.3263
66,59646.1107
67,56942.9048
68,53838.7845
69,49534.3985
70,44559.066
71,38348.1697
72,32484.0095
73,31969.72335
74,31773.60785
75,31545.9061
76,31661.277850000002
77,32543.4456
78,33718.8628
79,37394.75795
80,41560.43665
81,45211.9063
82,47669.39435
83,48655.1498
84,49718.64215
85,51715.3773
86,52703.599799999996
87,51827.86715
88,49900.487850000005
89,46967.781
90,45418.6131
91,44721.1898
92,43271.38925
93,40934.84
94,37688.81725
95,33320.52995
96,32541.25075
97,31766.254399999998
98,31601.006999999998
99,31421.49115
100,31274.7609
101,31812.3543
102,31990.3465
103,32645.45625
104,34102.12585
105,35881.31765
106,38098.87525
107,39700.9917
108,42020.709650000004
109,43589.2074
110,45167.6773
111,45880.5124
112,46633.5462
113,46428.92255
114,46025.5973
115,45344.5654
116,44085.22005
117,42174.25865
118,38820.7294
119,34881.3938
120,34174.66205
121,33035.67685
122,32607.57545
123,32384.11315
124,32338.60225
125,32907.81305
126,33265.7122
127,34193.457800000004
128,35621.4368
129,38357.7655
130,40597.39345
131,42326.0334
132,44791.5156
133,46614.1149
134,47818.42
135,48976.22185
136,48727.40675
137,48475.4829
138,49002.426699999996
139,48331.06715
140,46167.66785
141,43546.924100000004
142,39885.350399999996
143,35143.5574
144,32052.3388
145,31218.9894
146,30780.3624
147,30573.2986
148,30512.8473
149,30884.4101
150,31101.0246
151,31271.2458
152,32483.8632
153,34084.5092
154,36048.1397
155,37993.9255
156,39924.6381
157,42153.2622
158,44573.0165
159,45129.263
160,45853.9111
161,45796.2657
162,45337.6746
163,44400.5376
164,42253.1175
165,40081.0767
166,37420.6916
167,33839.8776
168,33223.067
